iter	Passed	Remaining
0	21	25627
1	53	31987
2	74	29762
3	104	31155
4	138	33067
5	170	33856
6	199	34042
7	228	34015
8	261	34589
9	294	35047
10	326	35345
11	355	35186
12	386	35290
13	418	35462
14	451	35630
15	481	35652
16	509	35472
17	541	35553
18	575	35789
19	605	35735
20	637	35805
21	666	35677
22	697	35698
23	727	35668
24	758	35669
25	787	35558
26	823	35754
27	853	35743
28	885	35748
29	912	35574
30	942	35544
31	974	35554
32	1004	35525
33	1035	35495
34	1066	35499
35	1095	35416
36	1126	35398
37	1156	35357
38	1188	35383
39	1218	35336
40	1251	35391
41	1283	35381
42	1315	35390
43	1347	35411
44	1378	35376
45	1412	35425
46	1443	35417
47	1474	35396
48	1503	35313
49	1532	35241
50	1564	35237
51	1593	35175
52	1625	35171
53	1655	35140
54	1685	35093
55	1716	35067
56	1747	35039
57	1778	35008
58	1808	34974
59	1838	34937
60	1875	35027
61	1903	34944
62	1934	34905
63	1965	34880
64	1996	34863
65	2026	34811
66	2055	34764
67	2086	34728
68	2117	34712
69	2146	34648
70	2175	34597
71	2205	34549
72	2236	34522
73	2270	34544
74	2300	34507
75	2330	34472
76	2360	34420
77	2390	34391
78	2422	34369
79	2452	34336
80	2481	34281
81	2509	34218
82	2539	34176
83	2568	34127
84	2598	34083
85	2628	34045
86	2659	34018
87	2688	33977
88	2719	33950
89	2747	33889
90	2780	33884
91	2814	33899
92	2844	33853
93	2873	33809
94	2905	33792
95	2938	33795
96	2970	33781
97	3003	33769
98	3036	33771
99	3063	33696
100	3095	33677
101	3124	33632
102	3158	33634
103	3187	33590
104	3216	33542
105	3247	33517
106	3282	33526
107	3314	33513
108	3345	33489
109	3378	33479
110	3410	33458
111	3443	33450
112	3471	33394
113	3500	33348
114	3531	33318
115	3562	33288
116	3591	33248
117	3629	33284
118	3660	33250
119	3690	33215
120	3720	33177
121	3749	33134
122	3779	33096
123	3810	33062
124	3843	33056
125	3875	33032
126	3903	32984
127	3934	32954
128	3967	32940
129	3998	32913
130	4028	32870
131	4057	32831
132	4088	32802
133	4121	32789
134	4150	32741
135	4179	32698
136	4209	32663
137	4243	32654
138	4278	32655
139	4311	32641
140	4340	32601
141	4372	32581
142	4404	32557
143	4432	32504
144	4461	32462
145	4494	32444
146	4525	32419
147	4555	32378
148	4585	32345
149	4615	32311
150	4649	32300
151	4680	32272
152	4712	32247
153	4743	32218
154	4776	32205
155	4809	32185
156	4839	32148
157	4873	32137
158	4905	32114
159	4935	32078
160	4964	32040
161	4996	32017
162	5033	32024
163	5064	31994
164	5090	31934
165	5121	31900
166	5151	31868
167	5181	31827
168	5213	31804
169	5245	31782
170	5277	31759
171	5308	31725
172	5336	31679
173	5365	31638
174	5395	31600
175	5423	31555
176	5455	31530
177	5476	31445
178	5508	31421
179	5537	31381
180	5573	31377
181	5604	31348
182	5634	31313
183	5663	31273
184	5693	31237
185	5724	31206
186	5761	31211
187	5800	31226
188	5831	31192
189	5860	31152
190	5892	31130
191	5925	31107
192	5955	31073
193	5986	31043
194	6016	31007
195	6047	30977
196	6078	30948
197	6110	30923
198	6140	30885
199	6170	30850
200	6200	30818
201	6232	30794
202	6262	30758
203	6294	30730
204	6326	30708
205	6358	30679
206	6389	30649
207	6418	30611
208	6453	30599
209	6487	30583
210	6519	30560
211	6550	30530
212	6580	30492
213	6611	30461
214	6646	30448
215	6678	30424
216	6707	30384
217	6738	30354
218	6769	30322
219	6799	30289
220	6831	30260
221	6866	30248
222	6898	30223
223	6928	30186
224	6958	30154
225	6992	30134
226	7023	30105
227	7054	30073
