iter	RMSE
0	1.268755191
1	1.236300274
2	1.200987564
3	1.168366516
4	1.138261141
5	1.107435637
6	1.07843748
7	1.051749602
8	1.024567819
9	1.005558987
10	0.9836019801
11	0.9608943988
12	0.942055032
13	0.9243915926
14	0.9072336126
15	0.8920968162
16	0.8772067738
17	0.8635967551
18	0.8497198059
19	0.8382070355
20	0.8254526799
21	0.814232038
22	0.8041709377
23	0.7925570494
24	0.782447585
25	0.7731576291
26	0.764374512
27	0.7569784192
28	0.7501175052
29	0.7424861374
30	0.7348752946
31	0.7281829926
32	0.7232728103
33	0.71659527
34	0.7102233453
35	0.7036477647
36	0.6981507344
37	0.6931625475
38	0.6882640766
39	0.6837463457
40	0.6799967435
41	0.6766342855
42	0.6729025278
43	0.6690875375
44	0.6669493812
45	0.6635183432
46	0.6600665929
47	0.6585360375
48	0.6548536058
49	0.6519448422
50	0.6501190836
51	0.6484777487
52	0.6461643681
53	0.6446350539
54	0.6431012082
55	0.6390836144
56	0.6368159552
57	0.6345210709
58	0.6334505704
59	0.6325935785
60	0.6295716371
61	0.6278273339
62	0.6260582098
63	0.6242471529
64	0.622326849
65	0.6206011329
66	0.6193983555
67	0.617847531
68	0.6166975534
69	0.6148014562
70	0.6133400004
71	0.6119898738
72	0.6102617543
73	0.6084853632
74	0.6069193218
75	0.6030693689
76	0.5999477163
77	0.5981063398
78	0.5964754748
79	0.5951964307
80	0.5938529373
81	0.5921825013
82	0.5913830083
83	0.5895822453
84	0.5888386863
85	0.5875105828
86	0.5866799394
87	0.5855926128
88	0.5851125475
89	0.5837150764
90	0.5818415333
91	0.5807301046
92	0.579294488
93	0.5787566566
94	0.5785903594
95	0.5781985651
96	0.5771235705
97	0.5759890295
98	0.5751108052
99	0.5739904728
100	0.5720275659
101	0.5707831865
102	0.5701017195
103	0.569519421
104	0.5681147679
105	0.5678934863
106	0.5674944239
107	0.5670188467
108	0.5641288264
109	0.5632853241
110	0.5625515661
111	0.5617986222
112	0.5611594711
113	0.5609867262
114	0.5606030143
115	0.5588660247
116	0.5586724865
117	0.5578986048
118	0.5560759684
119	0.555322718
120	0.5547216958
121	0.5542154408
122	0.5534812298
123	0.553218234
124	0.5529037299
125	0.551414783
126	0.549932665
127	0.5491467274
128	0.547803322
129	0.547591068
130	0.546766162
131	0.5462829334
132	0.5456759896
133	0.5450303454
134	0.5440663662
135	0.543230355
136	0.5425570501
137	0.541669535
138	0.5415103936
139	0.540699763
140	0.5400380493
141	0.5394150513
142	0.539359867
143	0.5387151736
144	0.5371658108
145	0.5364145431
146	0.5351538323
147	0.5349309396
148	0.5345039412
149	0.5339525649
150	0.533668058
151	0.5324279585
152	0.5314355157
153	0.5303576827
154	0.528885288
155	0.5285274177
156	0.527846219
157	0.5268961406
158	0.5264879879
159	0.52617828
160	0.5258674749
161	0.5251012985
162	0.5242544655
163	0.5239903734
164	0.5236133105
165	0.5229376286
166	0.5207601646
167	0.5199165587
168	0.5188862346
169	0.5181562615
170	0.5178366402
171	0.517317928
172	0.5153662177
173	0.5145307554
174	0.5142400201
175	0.5138528627
176	0.5137646201
177	0.5130831168
178	0.5126322981
179	0.5112258495
180	0.5108561447
181	0.5098562319
182	0.5091308072
183	0.5088003364
184	0.5077631755
185	0.507265251
186	0.5065392451
187	0.5060311306
188	0.5057303674
189	0.5054910735
190	0.5037160792
191	0.5035967703
192	0.503214838
193	0.5025129056
194	0.5017597587
195	0.5005292577
196	0.5001360091
197	0.4997608253
198	0.4991239121
199	0.4991072917
200	0.4987976637
201	0.498625736
202	0.4983548356
203	0.4982754921
204	0.4982668711
205	0.4972637829
206	0.4965229157
207	0.4961862372
208	0.4958545096
209	0.4958441327
210	0.4951019841
211	0.494358133
212	0.4941071472
213	0.4938446406
214	0.4936159723
215	0.4933803168
216	0.4925672442
217	0.4919536673
218	0.4914073373
219	0.4911706372
220	0.4905529425
221	0.4891526458
222	0.4889876077
223	0.4888791234
224	0.4879093704
225	0.4877806414
226	0.4873126525
227	0.4870887406
228	0.4864861592
229	0.4857554164
230	0.4850781378
231	0.4846446535
232	0.4843341179
233	0.4842693859
234	0.4836216187
235	0.4832986013
236	0.4828166455
237	0.4826828818
238	0.4821732705
