iter	Passed	Remaining
0	45	113002
1	87	108890
2	127	105987
3	174	108743
4	217	108750
5	254	105631
6	297	105972
7	339	105636
8	379	105166
9	420	104799
10	459	103916
11	495	102760
12	532	101936
13	581	103345
14	623	103293
15	661	102687
16	700	102291
17	745	102815
18	781	102107
19	816	101241
20	851	100465
21	886	99838
22	923	99482
23	959	98953
24	994	98432
25	1049	99876
26	1090	99837
27	1131	99873
28	1171	99828
29	1210	99667
30	1246	99254
31	1286	99190
32	1323	98907
33	1361	98775
34	1398	98514
35	1436	98349
36	1472	98025
37	1510	97868
38	1544	97435
39	1583	97377
40	1623	97399
41	1663	97373
42	1702	97276
43	1740	97150
44	1779	97092
45	1820	97133
46	1855	96839
47	1894	96781
48	1935	96792
49	1972	96654
50	2014	96741
51	2059	96934
52	2098	96872
53	2138	96854
54	2188	97281
55	2234	97498
56	2276	97585
57	2316	97521
58	2355	97444
59	2398	97527
60	2444	97721
61	2483	97644
62	2519	97471
63	2558	97399
64	2596	97251
65	2636	97228
66	2673	97101
67	2711	96976
68	2748	96824
69	2787	96781
70	2823	96595
71	2864	96598
72	2901	96448
73	2941	96428
74	2982	96432
75	3022	96402
76	3061	96324
77	3099	96254
78	3139	96225
79	3181	96245
80	3223	96273
81	3263	96219
82	3305	96243
83	3348	96303
84	3388	96261
85	3427	96206
86	3467	96172
87	3508	96152
88	3548	96119
89	3588	96078
90	3627	96022
91	3668	96013
92	3707	95962
93	3747	95924
94	3786	95855
95	3823	95741
96	3861	95670
97	3904	95690
98	3944	95652
99	3982	95575
100	4021	95524
101	4063	95535
102	4101	95450
103	4141	95408
104	4180	95358
105	4219	95291
106	4259	95259
107	4295	95145
108	4335	95091
109	4371	94980
110	4411	94944
111	4449	94869
112	4489	94831
113	4524	94697
114	4561	94599
115	4602	94581
116	4641	94538
117	4679	94458
118	4725	94552
119	4772	94660
120	4817	94718
121	4861	94764
122	4911	94916
123	4952	94901
124	5008	95160
125	5048	95113
126	5093	95167
127	5139	95239
128	5189	95380
129	5230	95354
130	5278	95451
131	5325	95544
132	5370	95575
133	5410	95523
134	5447	95437
135	5485	95346
136	5523	95276
137	5576	95446
138	5616	95400
139	5659	95409
140	5698	95330
141	5742	95362
142	5785	95366
143	5822	95269
144	5869	95336
145	5911	95318
146	5954	95318
147	5991	95221
148	6040	95312
149	6081	95283
150	6122	95248
151	6167	95266
152	6214	95322
153	6256	95315
154	6297	95282
155	6345	95345
156	6400	95521
157	6441	95481
158	6481	95435
159	6522	95398
160	6545	95097
161	6587	95070
162	6629	95045
163	6682	95188
164	6719	95090
165	6763	95101
166	6810	95140
167	6852	95118
168	6896	95127
169	6942	95155
170	6967	94891
171	7008	94852
172	7055	94899
173	7074	94567
174	7111	94477
175	7148	94394
176	7190	94373
177	7230	94327
178	7267	94238
