feature,importance
AGG_PROJECT_EN_ylog_mean,20.356018455677507
PROCEDURE_AREA,13.619558925766166
ACTUAL_AREA,8.514658285731748
ROOMS_EN,6.449065176047952
AGG_AREA_EN_PROP_TYPE_EN_ylog_mean,5.199183178171453
AGG_PROJECT_EN_ylog_median,5.1396557119148465
PROCEDURE_EN,4.353810184528663
GROUP_EN,3.675992419963988
AGG_AREA_EN_PROP_TYPE_EN_ylog_median,3.22460845878696
PROP_SB_TYPE_EN,3.103247727172779
NEAREST_METRO_EN,2.7104546628823614
AREA_RATIO,2.2973310671953584
NEAREST_LANDMARK_EN,2.161230293636049
PARKING_COUNT,1.8719494627426538
PROJECT_EN,1.8623695450277205
AGG_PROJECT_EN_count,1.7164358808470432
NEAREST_MALL_EN,1.4927346738624603
AGG_PROJECT_EN_logcount,1.2611681565928043
AGG_AREA_EN_ylog_mean,1.2427138001372855
AGG_AREA_EN_ylog_median,1.1554388698239801
AREA_EN,1.056097115289827
TOTAL_SELLER,1.0499578584741827
PARKING,0.8489264623438463
TOTAL_BUYER,0.8271483416731472
IS_OFFPLAN_EN,0.6090416348887612
DOW_SIN,0.5869711700595207
ROOMS_COUNT,0.47505252260487185
MONTH,0.4673707311714468
AGG_AREA_EN_PROP_TYPE_EN_count,0.39221021698375635
AGG_AREA_EN_count,0.3352181359821604
PROP_TYPE_EN,0.29440282384885175
AGG_AREA_EN_PROP_TYPE_EN_logcount,0.2892413017256211
DOW,0.26691049514744547
DOW_COS,0.23977505127326718
MONTH_COS,0.22991172375180197
AGG_AREA_EN_logcount,0.22049879821753499
MONTH_SIN,0.1577146423965818
NEAREST_METRO_EN_MISSING,0.10662769176921244
NEAREST_MALL_EN_MISSING,0.05467731496499428
IS_FREE_HOLD_EN,0.044351017464130296
PROJECT_EN_MISSING,0.038509075877693866
NEAREST_LANDMARK_EN_MISSING,0.0017609375815037097
USAGE_EN,0.0
